python -m bbcprc.report_durations
Total number of files 16014
Error count 0
Successful files 16014
Total length 20 days, 0:58:00.803605 76358303439
Average length 0:01:48.122943 4768221.770887973
Min length 0:00:01.573333 69384
Max length 0:26:49.400000 70974540
Average rms 3029.782418405867
Min rms 63.48201883802484
Max rms 22215.433447020263

00219 07040148.wav 0:00:04 176400
00220 07041159.wav 0:00:04 176400
00221 07041160.wav 0:00:04 176400
00222 07041161.wav 0:00:04 176400
00223 07041162.wav 0:00:04 176400
00224 07041215.wav 0:00:04 176400
00225 07058171.wav 0:00:04 176400
00226 07004262.wav 0:00:04.037324 178046
00227 07004285.wav 0:00:04.040000 178164
00228 07047166.wav 0:00:04.042494 178274
00229 07004286.wav 0:00:04.060000 179046
00230 07019159.wav 0:00:04.060000 179046
00231 07027003.wav 0:00:04.073923 179660
00232 07001176.wav 0:00:04.080000 179928
00233 07014181.wav 0:00:04.080000 179928
00234 07022315.wav 0:00:04.081315 179986
00235 07005040.wav 0:00:04.082109 180021
00236 07004309.wav 0:00:04.159365 183428
00237 07044072.wav 0:00:04.180000 184338
00238 07076040.wav 0:00:04.190000 184779
00239 07005033.wav 0:00:04.205034 185442
00240 07005125.wav 0:00:04.219932 186099
00241 07013056.wav 0:00:04.220000 186102
00242 07014095.wav 0:00:04.220000 186102
00243 07041158.wav 0:00:04.220499 186124
00244 07022270.wav 0:00:04.230748 186576
00245 07023287.wav 0:00:04.245986 187248
00246 07004310.wav 0:00:04.257052 187736
00247 07022192.wav 0:00:04.258957 187820
00248 07043156.wav 0:00:04.260000 187866
00249 07011050.wav 0:00:04.280000 188748
00250 07012031.wav 0:00:04.280000 188748
00251 07022491.wav 0:00:04.285465 188989
00252 07022313.wav 0:00:04.288254 189112
00253 07042214.wav 0:00:04.300000 189630
00254 07005118.wav 0:00:04.301723 189706
00255 07022490.wav 0:00:04.304218 189816
00256 07076042.wav 0:00:04.311565 190140
00257 07014073.wav 0:00:04.316916 190376
00258 07009139.wav 0:00:04.320000 190512
00259 07011063.wav 0:00:04.320000 190512
00260 07022112.wav 0:00:04.320000 190512
00261 07047184.wav 0:00:04.335828 191210
00262 07027070.wav 0:00:04.336961 191260
00263 07038187.wav 0:00:04.346032 191660
00264 07012005.wav 0:00:04.360000 192276
00265 07022309.wav 0:00:04.371111 192766
00266 07005035.wav 0:00:04.382177 193254
00267 07042160.wav 0:00:04.386667 193452
00268 07005038.wav 0:00:04.389116 193560
00269 07039225.wav 0:00:04.389161 193562
00270 07042147.wav 0:00:04.393333 193746
00271 07047188.wav 0:00:04.402494 194150
00272 07019171.wav 0:00:04.420000 194922
00273 07043396.wav 0:00:04.420000 194922
00274 07070053.wav 0:00:04.426667 195216
00275 07047168.wav 0:00:04.429161 195326
00276 07027071.wav 0:00:04.434739 195572
00277 07014106.wav 0:00:04.440000 195804
00278 07022206.wav 0:00:04.450000 196245
00279 07022310.wav 0:00:04.452154 196340
00280 07009138.wav 0:00:04.454875 196460
00281 07022377.wav 0:00:04.462313 196788
00282 07043284.wav 0:00:04.466667 196980
00283 07005039.wav 0:00:04.468005 197039
00284 07047189.wav 0:00:04.469161 197090
00285 07010080.wav 0:00:04.480000 197568
00286 07011028.wav 0:00:04.480000 197568
00287 07043102.wav 0:00:04.480000 197568
00288 07043103.wav 0:00:04.495215 198239
00289 07030103.wav 0:00:04.498141 198368
00290 07043255.wav 0:00:04.500000 198450
00291 07022440.wav 0:00:04.511111 198940
00292 07043282.wav 0:00:04.513333 199038
00293 07042178.wav 0:00:04.516417 199174
00294 07019010.wav 0:00:04.520000 199332
00295 07037353.wav 0:00:04.520000 199332
00296 07038186.wav 0:00:04.520000 199332
00297 07040119.wav 0:00:04.520000 199332
00298 07043050.wav 0:00:04.520000 199332
00299 07057080.wav 0:00:04.533333 199920
00300 07024092.wav 0:00:04.533855 199943
00301 07070092.wav 0:00:04.546667 200508
00302 07011009.wav 0:00:04.560680 201126
00303 07070067.wav 0:00:04.573333 201684
00304 07038227.wav 0:00:04.582132 202072
00305 07070077.wav 0:00:04.586667 202272
00306 07027076.wav 0:00:04.597279 202740
00307 07013088.wav 0:00:04.598912 202812
00308 07047187.wav 0:00:04.602494 202970
00309 07022312.wav 0:00:04.602812 202984
00310 07022385.wav 0:00:04.602993 202992
00311 07022362.wav 0:00:04.604014 203037
00312 07070065.wav 0:00:04.613333 203448
00313 07005037.wav 0:00:04.624263 203930
00314 07047182.wav 0:00:04.629161 204146
00315 07037391.wav 0:00:04.630839 204220
00316 07010124.wav 0:00:04.640000 204624
00317 07019003.wav 0:00:04.640000 204624
00318 07027164.wav 0:00:04.650522 205088
00319 07043397.wav 0:00:04.653333 205212
00320 07026151.wav 0:00:04.655057 205288
00321 07022487.wav 0:00:04.656984 205373
00322 07018080.wav 0:00:04.657415 205392
00323 07014090.wav 0:00:04.660000 205506
